StreetType,NormStreetType
ST,STREET
STR,STREET
STRT,STREET
STREET,STREET
AV,AVENUE
AVE,AVENUE
AVEN,AVENUE
AVENU,AVENUE
AVENUE,AVENUE
AVN,AVENUE
AVNU,AVENUE
AVNUE,AVENUE
RD,ROAD
RAD,ROAD
ROD,ROAD
ROAD,ROAD
DR,DRIVE
DRI,DRIVE
DRIV,DRIVE
DRIVE,DRIVE
DRV,DRIVE
DRVE,DRIVE
LN,LANE
LAN,LANE
LANE,LANE
LNE,LANE
CT,COURT
CO,COURT
COU,COURT
COUR,COURT
COURT,COURT
CRT,COURT
CORT,COURT
CURT,COURT
WY,WAY
WAY,WAY
W,WAY
TRL,TRAIL
TRA,TRAIL
TRAI,TRAIL
TRAIL,TRAIL
TRAL,TRAIL
TRIL,TRAIL
CIR,CIRCLE
CIRC,CIRCLE
CIRCL,CIRCLE
CIRCLE,CIRCLE
CRC,CIRCLE
CRCL,CIRCLE
CRCE,CIRCLE
CRCLE,CIRCLE
BLVD,BOULEVARD
BL,BOULEVARD
BO,BOULEVARD
BOU,BOULEVARD
BOUL,BOULEVARD
BOULE,BOULEVARD
BOULEV,BOULEVARD
BOULEVA,BOULEVARD
BOULEVAR,BOULEVARD
BOULEVARD,BOULEVARD
BLV,BOULEVARD
BLR,BOULEVARD
BLD,BOULEVARD
BLVA,BOULEVARD
BLVAR,BOULEVARD
BLVARD,BOULEVARD
BOL,BOULEVARD
BOLV,BOULEVARD
BOLE,BOULEVARD
BOLEV,BOULEVARD
BOLEVA,BOULEVARD
BOLEVAR,BOULEVARD
BOLEVARD,BOULEVARD
BUL,BOULEVARD
BULV,BOULEVARD
BULEV,BOULEVARD
BULEVA,BOULEVARD
BULEVAR,BOULEVARD
BULEVARD,BOULEVARD
PIKE,PIKE
PI,PIKE
PIK,PIKE
PIE,PIKE
PK,PIKE
PKE,PIKE
HWY,HIGHWAY
HW,HIGHWAY
HI,HIGHWAY
HIG,HIGHWAY
HIGH,HIGHWAY
HIGHW,HIGHWAY
HIGHWA,HIGHWAY
HIGHWAY,HIGHWAY
HGHW,HIGHWAY
HGHWA,HIGHWAY
HGHWAY,HIGHWAY
HGHWY,HIGHWAY
TER,TERRACE
TERR,TERRACE
TERRA,TERRACE
TERRAC,TERRACE
TERRACE,TERRACE
TRR,TERRACE
TRRA,TERRACE
TRRAC,TERRACE
TRRACE,TERRACE
TRRC,TERRACE
TRRCE,TERRACE
TRC,TERRACE
TRCE,TERRACE
PKWY,PARKWAY
PKW,PARKWAY
PKY,PARKWAY
PARKW,PARKWAY
PARKWA,PARKWAY
PARKWAY,PARKWAY
PRKW,PARKWAY
PRKWA,PARKWAY
PRKWAY,PARKWAY
PRKWY,PARKWAY
PL,PLACE
PLAC,PLACE
PLACE,PLACE
PLC,PLACE
PLCE,PLACE
RUN,RUN
RU,RUN
RN,RUN
GREEN,GREEN
GR,GREEN
GRE,GREEN
GREE,GREEN
GREN,GREEN
GRN,GREEN
GN,GREEN
TPKE,TURNPIKE
TP,TURNPIKE
TPK,TURNPIKE
TU,TURNPIKE
TUR,TURNPIKE
TURN,TURNPIKE
TURNP,TURNPIKE
TURNPI,TURNPIKE
TURNPIK,TURNPIKE
TURNPIKE,TURNPIKE
TRN,TURNPIKE
TRNP,TURNPIKE
TRNPI,TURNPIKE
TRNPIK,TURNPIKE
TRNPK,TURNPIKE
TRNPIKE,TURNPIKE
TRNPK,TURNPIKE
PARK,PARK
PAR,PARK
PRK,PARK
ROW,ROW
RW,ROW
COMMONS,COMMONS
COM,COMMONS
COMM,COMMONS
COMMO,COMMONS
COMMON,COMMONS
COMMN,COMMONS
COMMNS,COMMONS
COMN,COMMONS
COMNS,COMMONS
CMN,COMMONS
CMNS,COMMONS
SQ,SQUARE
SQU,SQUARE
SQUA,SQUARE
SQUAR,SQUARE
SQUARE,SQUARE
SQA,SQUARE
SQR,SQUARE
SQRE,SQUARE
CROSSING,CROSSING
CRS,CROSSING
CRSS,CROSSING
CROS,CROSSING
CROSS,CROSSING
CRSN,CROSSING
CRSNG,CROSSING
CRSING,CROSSING
CROSN,CROSSING
CROSNG,CROSSING
CROSING,CROSSING
XING,CROSSING
XNG,CROSSING
BEND,BEND
BN,BEND
BND,BEND
BEN,BEND
KNOLL,KNOLL
KN,KNOLL
KNO,KNOLL
KNOL,KNOLL
KNL,KNOLL
KL,KNOLL
KLL,KNOLL
GATE,GATE
GA,GATE
GAT,GATE
GTE,GATE
GARDENS,GARDENS
GR,GARDENS
GAR,GARDENS
GARD,GARDENS
GARDE,GARDENS
GARDEN,GARDENS
GARDN,GARDENS
GARDNS,GARDENS
GRD,GARDENS
GRDN,GARDENS
GRDEN,GARDENS
GRDNS,GARDENS
GRDENS,GARDENS
PT,POINT
POI,POINT
POIN,POINT
POINT,POINT
PNT,POINT
PINT,POINT
MEADOWS,MEADOWS
ME,MEADOWS
MEA,MEADOWS
MEAD,MEADOWS
MEADO,MEADOWS
MEADOW,MEADOWS
MED,MEADOWS
MEDO,MEADOWS
MEDOW,MEADOWS
MEDOWS,MEADOWS
MD,MEADOWS
MDW,MEADOWS
MDOW,MEADOWS
MDWS,MEADOWS
MDOWS,MEADOWS
YD,YARD
YAR,YARD
YARD,YARD
YRD,YARD
PLAZ,PLAZA
PLAZA,PLAZA
PLZA,PLAZA
PLZ,PLAZA
BEACH,BEACH
BE,BEACH
BEA,BEACH
BEAC,BEACH
BEC,BEACH
BECH,BEACH
BCH,BEACH
VIEW,VIEW
VIE,VIEW
VI,VIEW
VE,VIEW
VIW,VIEW
VEW,VIEW
VWE,VIEW
PASSAGE,PASSAGE
PAS,PASSAGE
PASS,PASSAGE
PASSA,PASSAGE
PASSAG,PASSAGE
PSS,PASSAGE
PSSG,PASSAGE
PSSAG,PASSAGE
PSSAGE,PASSAGE
PSSGE,PASSAGE
WALK,WALK
WA,WALK
WAL,WALK
WAK,WALK
WLK,WALK
CENTER,CENTER
CEN,CENTER
CENT,CENTER
CENTE,CENTER
CNT,CENTER
CNTE,CENTER
CNTR,CENTER
CNTER,CENTER
CTR,CENTER
CNR,CENTER
EXT,EXTENSION
EX,EXTENSION
EXTE,EXTENSION
EXTEN,EXTENSION
EXTENS,EXTENSION
EXTENSI,EXTENSION
EXTENSIO,EXTENSION
EXTN,EXTENSION
EXTNS,EXTENSION
EXTNSI,EXTENSION
EXTNSIO,EXTENSION
EXTNSION,EXTENSION
EXTNSN,EXTENSION
